Country,Population_1950,Population_2021,Absolute_chg,Grow
Turks and Caicos Islands,5057,45141,40084,8.9264386
Tuvalu,4756,11229,6473,2.361017662
Uganda,5750643,45853780,40103137,7.973678769
Ukraine,37303000,43531424,6228424,1.166968448
United Arab Emirates,74613,9365149,9290536,125.5163175
United Kingdom,50055068,67281040,17225972,1.344140418
United States of America,148281550,336997630,188716080,2.272687533
United States Virgin Islands,27100,100100,73000,3.693726937
Upper-middle-income countries,900338500,2519863600,1619525100,2.798795786
Uruguay,2234152,3426265,1192113,1.533586345
Uzbekistan,6247555,34081452,27833897,5.455166381
Vanuatu,51587,319146,267559,6.186558629
Venezuela,5488619,28199862,22711243,5.13787931
Vietnam,25109200,97468024,72358824,3.881765409
Wallis and Futuna,8556,11654,3098,1.362085086
Western Sahara,13003,565590,552587,43.49688533
World,2499322000,7909295000,5409973000,3.164576233
Yemen,4712813,32981644,28268831,6.998292527
Zambia,2318453,19473132,17154679,8.399192047
Zimbabwe,2791336,15993525,13202189,5.729702551
